Ward_name,Old_code,New_code,Population_2015,%_Al_Children0_15,%_All_Older_people_aged_65+,Population_density,%_children_obese,%_children_in_year_6_obese
Havering - Harold Wood,00ARGJ,E05000312,13750,18.6,18,1730.3,7.7,17.1
Havering - Havering Park,00ARGK,E05000313,13200,20.5,17.3,1326.5,9.7,22.2
Havering - Heaton,00ARGL,E05000314,13200,22.1,16.8,3779.4,12.8,24.8
Havering - Hylands,00ARGM,E05000315,13150,15.9,18.8,4500,3.9,16.8
Havering - Mawneys,00ARGN,E05000316,13100,19.4,19.6,4316.7,10.6,21.8
Havering - Pettits,00ARGP,E05000317,13050,17,22.8,3237.5,9.7,11.6
Havering - Rainham and Wennington,00ARGQ,E05000318,13150,18.9,18,754.4,13.6,24
Havering - Romford Town,00ARGR,E05000319,18700,19.6,13.2,5931,10.2,21
Havering - St. Andrew's,00ARGS,E05000320,13650,16.7,21,4981.5,11.5,18.5
Havering - South Hornchurch,00ARGT,E05000321,16550,21.6,15.9,2198.5,11.3,23.1
Havering - Squirrel's Heath,00ARGU,E05000322,13400,18.1,17.5,5096.2,10.4,22.7
Havering - Upminster,00ARGW,E05000323,12950,15.4,23.8,571.1,6.8,13.5
Hillingdon - Barnhill,00ASGG,E05000324,14050,24.7,9.8,6595.2,11.5,27.1
Hillingdon - Botwell,00ASGH,E05000325,15950,26.5,9.4,3545.5,9.8,22.6
Hillingdon - Brunel,00ASGJ,E05000326,14750,15.9,10.8,4424.2,10.3,17.9
Hillingdon - Cavendish,00ASGK,E05000327,12100,19.8,16.4,6000,6.4,16.7
Hillingdon - Charville,00ASGL,E05000328,13200,22.7,12.4,4350,11.3,20.8
Hillingdon - Eastcote and East Ruislip,00ASGM,E05000329,12600,17.2,21.2,3048.8,5.9,12.1
Hillingdon - Harefield,00ASGN,E05000330,7750,19.7,17.1,500,10,18.5
Hillingdon - Heathrow Villages,00ASGP,E05000331,13250,23.2,9.7,546.8,12.8,23.2
Hillingdon - Hillingdon East,00ASGQ,E05000332,13700,22.5,11.8,3722.2,9,19.6
Hillingdon - Ickenham,00ASGR,E05000333,10750,17.6,20.9,1725.8,7,13.3
Hillingdon - Manor,00ASGS,E05000334,11900,20.1,16,5875,9.3,14.9
Hillingdon - Northwood,00ASGT,E05000335,10850,16.1,21.3,1452.7,4.1,13.9
Hillingdon - Northwood Hills,00ASGU,E05000336,12050,18.9,17.9,3606.1,8.3,20.6
Hillingdon - Pinkwell,00ASGW,E05000337,15750,26.2,8.9,5703.7,9.8,23.2
Hillingdon - South Ruislip,00ASGX,E05000338,12950,20.7,13,1723,9.3,19.3
Hillingdon - Townfield,00ASGY,E05000339,14900,24,9.7,4171.4,10.9,23
Hillingdon - Uxbridge North,00ASGZ,E05000340,13100,18.4,16.1,2771.7,7.4,14.6
Hillingdon - Uxbridge South,00ASHA,E05000341,15000,13.6,9.3,4758.1,12.3,20.9
Hillingdon - West Drayton,00ASHB,E05000342,15250,23.5,11.4,4257.1,10,22.7
Hillingdon - West Ruislip,00ASHC,E05000343,11600,18.6,17.1,2545.5,5.9,12.7
Hillingdon - Yeading,00ASHD,E05000344,14250,26.8,8.1,6087,10.4,23.7
Hillingdon - Yiewsley,00ASHE,E05000345,13750,22.7,10,3362.5,11,24.5
Hounslow - Bedfont,00ATFY,E05000346,12950,22.8,11.6,2965.9,11.7,28.3
Hounslow - Brentford,00ATFZ,E05000347,15800,18.5,10,4828.1,12.6,22.6
Hounslow - Chiswick Homefields,00ATGA,E05000348,11650,18.8,12.8,5087,6.7,16.9
Hounslow - Chiswick Riverside,00ATGB,E05000349,11700,19.7,13.8,5642.9,6.6,13.3
Hounslow - Cranford,00ATGC,E05000350,12750,22.2,10.5,4722.2,12.7,26.6
Hounslow - Feltham North,00ATGD,E05000351,11850,20.3,13.6,3514.7,12.7,25.9
Hounslow - Feltham West,00ATGE,E05000352,15800,25,7.4,4968.8,14.5,24.2
Hounslow - Hanworth,00ATGF,E05000353,12400,23.6,11.9,3787.9,13.1,27.1
Hounslow - Hanworth Park,00ATGG,E05000354,12250,21.1,12.4,3347.2,14,25.7
Hounslow - Heston Central,00ATGH,E05000355,12600,21,11.5,7500,13.5,29.4
Hounslow - Heston East,00ATGJ,E05000356,12700,20.4,11.6,6400,10.5,22.8
Hounslow - Heston West,00ATGK,E05000357,12750,22.9,10.9,3381.6,9,24.6
Hounslow - Hounslow Central,00ATGL,E05000358,16200,20.3,9.6,9441.2,11.8,22.2
Hounslow - Hounslow Heath,00ATGM,E05000359,15250,24.3,8.3,5446.4,10.8,24.7
Hounslow - Hounslow South,00ATGN,E05000360,11700,19,14,6555.6,9.3,16.6
Hounslow - Hounslow West,00ATGP,E05000361,13750,19.2,10.7,8437.5,10.7,27.4
Hounslow - Isleworth,00ATGQ,E05000362,12150,22.3,10.8,6125,10.7,20.7
Hounslow - Osterley and Spring Grove,00ATGR,E05000363,13350,19.3,12.9,2134.9,8.4,15.8
Hounslow - Syon,00ATGS,E05000364,14200,20.7,9.9,4862.1,9.7,23.6
Hounslow - Turnham Green,00ATGT,E05000365,11800,15.8,13.2,6583.3,7.3,15.7
Islington - Barnsbury,00AUFX,E05000366,12950,15,9.7,15937.5,9.9,23.4
Islington - Bunhill,00AUFY,E05000367,16700,13.1,7,14454.5,12.4,22.9
Islington - Caledonian,00AUFZ,E05000368,14950,14.8,8.5,13227.3,13,21.9
Islington - Canonbury,00AUGA,E05000369,12500,18.2,9.9,15437.5,9.1,22.7
